iter	RMSE
0	456232.3874
1	437268.6969
2	420286.3768
3	404063.6107
4	387958.6801
5	374000.3104
6	358566.2131
7	345115.7814
8	332146.3686
9	318841.4329
10	306058.4838
11	294299.3825
12	282911.833
13	271292.8122
14	261638.8661
15	251220.0552
16	241815.0912
17	232760.7043
18	224596.8811
19	215548.5844
20	207587.9733
21	200206.4642
22	192672.6582
23	185070.6887
24	178268.2351
25	171469.9726
26	165541.3685
27	159765.4727
28	154741.4237
29	149104.2893
30	143918.0453
31	138831.015
32	134118.4328
33	129711.3603
34	125352.688
35	120986.6852
36	116413.0349
37	111919.1864
38	107993.5802
39	104062.5567
40	100651.0682
41	96947.72394
42	93671.97077
43	90461.07859
44	87438.58795
45	84390.63148
46	81230.00322
47	78357.32965
48	75802.12903
49	73504.55782
50	70918.61066
51	68727.59668
52	66569.77393
53	64333.86421
54	62385.62695
55	60377.93348
56	58363.07404
57	56562.14076
58	54954.55231
59	53257.53906
60	51729.04842
61	50278.7841
62	48944.76904
63	47540.76767
64	46200.83096
65	44964.62182
66	43747.90139
67	42665.97986
68	41654.56108
69	40623.16392
70	39619.33867
71	38709.11781
72	37766.31033
73	36975.64547
74	36137.23497
75	35347.95169
76	34666.33484
77	33949.30089
78	33297.44096
79	32630.75004
80	32085.7056
81	31475.54161
82	30957.89576
83	30413.28345
84	29935.41045
85	29328.89116
86	28854.2355
87	28408.5204
88	28005.7291
89	27555.27929
90	27186.94326
91	26778.09067
92	26396.23799
93	26050.98437
94	25715.76563
95	25372.66573
96	25075.43821
97	24781.10524
98	24448.28639
99	24117.38663
100	23819.16064
101	23498.04413
102	23289.10714
103	23053.3334
104	22845.22256
105	22573.24747
106	22357.19008
107	22110.68353
108	21949.36705
109	21759.55227
110	21622.98886
111	21465.6431
112	21298.10923
113	21119.92165
114	20975.03409
115	20851.09702
116	20697.96836
117	20572.23136
118	20459.46581
119	20274.19716
120	20124.46935
121	20026.2226
122	19888.48837
123	19778.82236
124	19649.37071
125	19547.47684
126	19452.53541
127	19336.02528
128	19256.22024
129	19138.83944
130	19030.48827
131	18943.37419
132	18847.09738
133	18762.96056
134	18663.3722
135	18562.89875
136	18489.76632
137	18362.12586
138	18270.85915
139	18204.88924
140	18113.92029
141	18032.53845
142	17956.72811
143	17858.70825
144	17813.54599
145	17744.9768
146	17682.14577
147	17610.78822
148	17536.90808
149	17454.35343
150	17393.05871
151	17321.1446
152	17254.53157
153	17178.05444
154	17090.65046
155	17014.3325
156	16954.10433
157	16853.19659
158	16746.99117
159	16660.06033
160	16582.24044
161	16528.87479
162	16450.7335
163	16377.3218
164	16322.31244
165	16275.03797
166	16201.12386
167	16161.53019
168	16061.07772
169	15979.54891
170	15906.03459
171	15840.40336
172	15787.24542
173	15720.83704
174	15656.51944
175	15587.568
176	15538.69186
177	15481.84097
178	15431.93325
179	15343.16123
180	15272.80716
181	15230.73212
182	15164.41719
183	15079.45987
184	15020.09532
185	14958.86006
186	14888.20102
187	14814.57263
188	14764.89341
189	14712.89726
190	14654.01653
191	14597.30493
192	14534.77749
193	14490.86922
194	14447.95228
195	14393.92817
196	14317.02031
197	14257.50449
198	14175.57378
199	14136.72358
200	14108.82122
201	14077.47154
202	14023.06133
203	13973.9731
204	13913.41951
205	13866.95277
206	13822.98963
207	13767.86577
208	13711.83589
209	13662.08065
210	13595.74638
211	13532.40424
212	13467.44932
213	13414.29773
214	13373.60744
215	13338.59177
216	13284.94328
217	13217.93415
218	13183.74953
219	13129.63944
220	13078.29444
221	13034.20864
222	12988.55265
223	12940.5262
224	12902.26294
225	12851.56252
226	12821.71668
227	12777.53207
228	12738.95171
229	12703.669
230	12665.10128
231	12629.17633
232	12594.63462
233	12542.17338
234	12513.19117
235	12464.8111
236	12428.3183
237	12377.79288
238	12358.98753
239	12310.30844
240	12267.51484
241	12220.60656
242	12187.50128
243	12160.70349
244	12124.05912
245	12085.43654
246	12051.78304
247	12029.04277
248	11990.44223
249	11952.96615
250	11903.72226
251	11864.62118
252	11820.56163
253	11788.30427
254	11749.68621
255	11720.01163
256	11679.51784
257	11642.60671
258	11602.74347
259	11566.71957
260	11520.49154
261	11477.39116
262	11439.17538
263	11402.02326
264	11376.89744
265	11339.08542
266	11306.93121
267	11273.38129
268	11251.83199
269	11222.17973
270	11194.67975
271	11154.15963
272	11118.5359
273	11076.79948
274	11045.64487
275	11010.49019
276	10979.16235
277	10943.11786
278	10911.52199
279	10875.00859
