iter	Passed	Remaining
0	99	148918
1	115	86203
2	120	60100
3	127	47819
4	139	41662
5	145	36255
6	151	32294
7	159	29791
8	163	27147
9	173	25871
10	180	24429
11	188	23397
12	195	22376
13	203	21647
14	211	20890
15	219	20313
16	226	19715
17	231	19081
18	235	18383
19	242	17932
20	249	17557
21	256	17221
22	263	16953
23	272	16762
24	280	16545
25	293	16663
26	300	16410
27	307	16174
28	319	16206
29	327	16027
30	337	15997
31	345	15830
32	354	15768
33	362	15611
34	366	15327
35	373	15171
36	380	15042
37	387	14893
38	394	14773
39	401	14651
40	408	14532
41	416	14454
42	423	14350
43	432	14315
44	437	14147
45	446	14122
46	453	14027
47	461	13957
48	466	13826
49	470	13648
50	479	13625
51	487	13563
52	496	13548
53	501	13434
54	510	13418
55	519	13382
56	530	13436
57	547	13609
58	552	13498
59	562	13488
60	568	13421
61	577	13388
62	581	13262
63	589	13220
64	598	13204
65	606	13169
66	614	13151
67	622	13103
68	631	13091
69	636	13010
70	646	13009
71	651	12925
72	659	12900
73	666	12848
74	675	12827
75	681	12775
76	690	12755
77	697	12711
78	704	12676
79	711	12633
80	719	12600
81	727	12584
82	735	12549
83	743	12535
84	747	12451
85	755	12427
86	763	12396
87	773	12405
88	789	12522
89	795	12468
90	804	12452
91	811	12416
92	819	12392
93	826	12363
94	834	12334
95	842	12325
96	847	12258
97	855	12244
98	862	12212
99	870	12187
100	876	12147
101	884	12118
102	891	12092
103	898	12060
104	906	12040
105	911	11982
106	918	11956
107	925	11934
108	931	11883
109	939	11866
110	946	11840
111	948	11757
112	958	11762
113	964	11728
114	974	11733
115	982	11716
116	991	11724
117	999	11700
118	1008	11706
119	1023	11772
120	1039	11843
121	1046	11822
122	1054	11805
123	1061	11776
124	1069	11762
125	1076	11735
126	1083	11712
127	1097	11762
128	1104	11740
129	1117	11773
130	1135	11867
131	1155	11975
132	1166	11988
133	1177	12006
134	1190	12041
135	1200	12042
136	1215	12088
137	1251	12354
138	1271	12453
139	1283	12467
140	1290	12433
141	1300	12436
142	1308	12415
143	1317	12406
144	1325	12383
145	1331	12348
146	1339	12329
147	1347	12310
148	1354	12285
149	1439	12952
150	1449	12946
151	1458	12938
152	1480	13033
153	1491	13036
154	1500	13024
155	1516	13063
156	1532	13107
157	1547	13147
158	1557	13132
159	1573	13175
160	1582	13159
161	1591	13144
162	1597	13102
